#,topic_detected,topic_corrected,action,target_subtopic_key,alias_to_add,new_subtopic_ref,batch_pattern,exclude_reason,rationale,relative_path,knowledge_class
1,activos_exterior,,b,declaracion_activos_exterior_formulario_160,,activos_exterior.declaracion_activos_exterior_formulario_160,,,Formulario 160 es un régimen con calendario y sanciones propios; crear subtopic dedicado en vez de mezclar con renta PJ.,to upload/AGGRANDIZEMENT-ABRIL-2026/ACTIVOS_EXTERIOR_F160/EXPERTOS/AEX-E01-activos-exterior-interpretaciones-PYME.md,interpretative_guidance
2,activos_exterior,,b,declaracion_activos_exterior_formulario_160,,activos_exterior.declaracion_activos_exterior_formulario_160,,,Formulario 160 es un régimen con calendario y sanciones propios; crear subtopic dedicado en vez de mezclar con renta PJ.,to upload/AGGRANDIZEMENT-ABRIL-2026/ACTIVOS_EXTERIOR_F160/LOGGRO/AEX-L01-guia-practica-declaracion-activos-exterior-F160-PYME.md,practica_erp
3,comercial_societario,reformas_tributarias,a,reforma_tributaria_gmf_y_facturacion,ley_223_1994_reforma,,,,"Ley 223/1994 es una reforma tributaria, no comercial societario. Alias al catch-all de reformas.",CORE ya Arriba/COMERCIAL_SOCIETARIO/Ley-223-1994.md,normative_base
4,comercial_societario,otros_sectoriales,b,estatuto_consumidor_ley_1480_2011,,otros_sectoriales.estatuto_consumidor_ley_1480_2011,,,"Ley 1480/2011 es Estatuto del Consumidor (SIC), no societario — corrección de parent_topic + subtopic dedicado.",CORE ya Arriba/LEYES/COMERCIAL_SOCIETARIO/consolidado/Ley-1480-2011.md,normative_base
5,comercial_societario,,b,regimen_emprendimiento_ley_2069_2020,,comercial_societario.regimen_emprendimiento_ley_2069_2020,,,Ley 2069/2020 (Emprendimiento) introduce sociedades BIC y compras públicas MiPyME; merece subtopic propio.,CORE ya Arriba/LEYES/COMERCIAL_SOCIETARIO/consolidado/Ley-2069-2020.md,normative_base
6,comercial_societario,,b,regimen_mipyme_ley_590_905,,comercial_societario.regimen_mipyme_ley_590_905,,,Leyes 590/2000 y 905/2004 fijan la clasificación MiPyME — criterio base para obligaciones diferenciadas.,CORE ya Arriba/LEYES/COMERCIAL_SOCIETARIO/consolidado/Ley-590-2000.md,normative_base
7,comercial_societario,otros_sectoriales,b,estatuto_consumidor_ley_1480_2011,,otros_sectoriales.estatuto_consumidor_ley_1480_2011,,,"Ley 1480/2011 es Estatuto del Consumidor (SIC), no societario — corrección de parent_topic + subtopic dedicado.",CORE ya Arriba/LEYES/COMERCIAL_SOCIETARIO/EXPERTOS/EXPERTOS_Ley-1480-2011.md,normative_base
8,comercial_societario,,b,regimen_emprendimiento_ley_2069_2020,,comercial_societario.regimen_emprendimiento_ley_2069_2020,,,Ley 2069/2020 (Emprendimiento) introduce sociedades BIC y compras públicas MiPyME; merece subtopic propio.,CORE ya Arriba/LEYES/COMERCIAL_SOCIETARIO/EXPERTOS/EXPERTOS_Ley-2069-2020.md,normative_base
9,comercial_societario,,b,regimen_mipyme_ley_590_905,,comercial_societario.regimen_mipyme_ley_590_905,,,Leyes 590/2000 y 905/2004 fijan la clasificación MiPyME — criterio base para obligaciones diferenciadas.,CORE ya Arriba/LEYES/COMERCIAL_SOCIETARIO/EXPERTOS/EXPERTOS_Ley-590-2000.md,normative_base
10,comercial_societario,,b,regimen_mipyme_ley_590_905,,comercial_societario.regimen_mipyme_ley_590_905,,,Leyes 590/2000 y 905/2004 fijan la clasificación MiPyME — criterio base para obligaciones diferenciadas.,CORE ya Arriba/LEYES/COMERCIAL_SOCIETARIO/EXPERTOS/EXPERTOS_Ley-905-2004.md,normative_base
11,comercial_societario,presupuesto_hacienda,a,presupuesto_de_ingresos_y_egresos,ley_1151_2007_pnd,,,,Ley 1151/2007 es el Plan Nacional de Desarrollo 2006-2010 — parent correcto es presupuesto_hacienda.,CORE ya Arriba/LEYES/COMERCIAL_SOCIETARIO/LOGGRO/PRACTICA_Ley-1151-2007.md,normative_base
12,comercial_societario,otros_sectoriales,b,estatuto_consumidor_ley_1480_2011,,otros_sectoriales.estatuto_consumidor_ley_1480_2011,,,"Ley 1480/2011 es Estatuto del Consumidor (SIC), no societario — corrección de parent_topic + subtopic dedicado.",CORE ya Arriba/LEYES/COMERCIAL_SOCIETARIO/LOGGRO/PRACTICA_Ley-1480-2011.md,normative_base
13,comercial_societario,,b,regimen_emprendimiento_ley_2069_2020,,comercial_societario.regimen_emprendimiento_ley_2069_2020,,,Ley 2069/2020 (Emprendimiento) introduce sociedades BIC y compras públicas MiPyME; merece subtopic propio.,CORE ya Arriba/LEYES/COMERCIAL_SOCIETARIO/LOGGRO/PRACTICA_Ley-2069-2020.md,normative_base
14,comercial_societario,,b,regimen_mipyme_ley_590_905,,comercial_societario.regimen_mipyme_ley_590_905,,,Leyes 590/2000 y 905/2004 fijan la clasificación MiPyME — criterio base para obligaciones diferenciadas.,CORE ya Arriba/LEYES/COMERCIAL_SOCIETARIO/LOGGRO/PRACTICA_Ley-905-2004.md,normative_base
15,comercial_societario,otros_sectoriales,b,estatuto_consumidor_ley_1480_2011,,otros_sectoriales.estatuto_consumidor_ley_1480_2011,,,"Ley 1480/2011 es Estatuto del Consumidor (SIC), no societario — corrección de parent_topic + subtopic dedicado.",CORE ya Arriba/LEYES/COMERCIAL_SOCIETARIO/NORMATIVA/Ley-1480-2011.md,normative_base
16,comercial_societario,,b,regimen_emprendimiento_ley_2069_2020,,comercial_societario.regimen_emprendimiento_ley_2069_2020,,,Ley 2069/2020 (Emprendimiento) introduce sociedades BIC y compras públicas MiPyME; merece subtopic propio.,CORE ya Arriba/LEYES/COMERCIAL_SOCIETARIO/NORMATIVA/Ley-2069-2020.md,normative_base
17,datos_tecnologia,,b,teletrabajo_ley_1221_2008,,datos_tecnologia.teletrabajo_ley_1221_2008,,,Ley 1221/2008 regula teletrabajo — subtopic dedicado (impacta laboral y parafiscales).,CORE ya Arriba/LEYES/DATOS_TECNOLOGIA/LOGGRO/PRACTICA_Ley-1221-2008.md,normative_base
18,datos_tecnologia,,b,regulacion_tic_ley_1341_2009,,datos_tecnologia.regulacion_tic_ley_1341_2009,,,Ley 1341/2009 (TIC) — régimen contributivo sectorial MinTIC / CRC.,CORE ya Arriba/LEYES/DATOS_TECNOLOGIA/LOGGRO/PRACTICA_Ley-1341-2009.md,normative_base
19,datos_tecnologia,,b,teletrabajo_ley_1221_2008,,datos_tecnologia.teletrabajo_ley_1221_2008,,,Ley 1221/2008 regula teletrabajo — subtopic dedicado (impacta laboral y parafiscales).,CORE ya Arriba/LEYES/DATOS_TECNOLOGIA/NORMATIVA/Ley-1221-2008.md,normative_base
20,datos_tecnologia,,b,teletrabajo_ley_1221_2008,,datos_tecnologia.teletrabajo_ley_1221_2008,,,Ley 1221/2008 regula teletrabajo — subtopic dedicado (impacta laboral y parafiscales).,CORE ya Arriba/LOGGRO_LEYES/DT-1221-2008-LOGGRO.md,normative_base
21,datos_tecnologia,,b,regulacion_tic_ley_1341_2009,,datos_tecnologia.regulacion_tic_ley_1341_2009,,,Ley 1341/2009 (TIC) — régimen contributivo sectorial MinTIC / CRC.,CORE ya Arriba/LOGGRO_LEYES/DT-1341-2009-LOGGRO.md,normative_base
22,datos_tecnologia,declaracion_renta,a,declaracion_de_renta_personas_juridicas,casos_practicos_renta_pj_seccion_28,,,,Sección 28 de casos prácticos es parte de la guía LOGGRO de declaración de renta PJ; PASO 1 la enrutó mal.,CORE ya Arriba/RENTA/LOGGRO/seccion-28-casos-practicos.md,practica_erp
23,declaracion_renta,,a,declaracion_de_renta_personas_juridicas,renta_pj_seccion_07,,,,Sección LOGGRO de declaración renta PJ — alias al catch-all existente.,CORE ya Arriba/RENTA/LOGGRO/seccion-07-formularios-y-plataforma-dian.md,practica_erp
24,declaracion_renta,,a,declaracion_de_renta_personas_juridicas,renta_pj_seccion_09,,,,Sección LOGGRO de declaración renta PJ — alias al catch-all existente.,CORE ya Arriba/RENTA/LOGGRO/seccion-09-costos-y-deducciones.md,practica_erp
25,declaracion_renta,,a,declaracion_de_renta_personas_juridicas,renta_pj_seccion_10,,,,Sección LOGGRO de declaración renta PJ — alias al catch-all existente.,CORE ya Arriba/RENTA/LOGGRO/seccion-10-patrimonio-fiscal.md,practica_erp
26,declaracion_renta,,a,declaracion_de_renta_personas_juridicas,renta_pj_seccion_11,,,,Sección LOGGRO de declaración renta PJ — alias al catch-all existente.,CORE ya Arriba/RENTA/LOGGRO/seccion-11-conciliacion-fiscal.md,practica_erp
27,declaracion_renta,,a,declaracion_de_renta_personas_juridicas,renta_pj_seccion_13,,,,Sección LOGGRO de declaración renta PJ — alias al catch-all existente.,CORE ya Arriba/RENTA/LOGGRO/seccion-13-tarifas-del-impuesto.md,practica_erp
28,declaracion_renta,,a,declaracion_de_renta_personas_juridicas,renta_pj_seccion_15,,,,Sección LOGGRO de declaración renta PJ — alias al catch-all existente.,CORE ya Arriba/RENTA/LOGGRO/seccion-15-descuentos-tributarios.md,practica_erp
29,declaracion_renta,,a,declaracion_de_renta_personas_juridicas,renta_pj_seccion_16,,,,Sección LOGGRO de declaración renta PJ — alias al catch-all existente.,CORE ya Arriba/RENTA/LOGGRO/seccion-16-anticipo-del-impuesto-de-renta.md,practica_erp
30,declaracion_renta,,a,declaracion_de_renta_personas_juridicas,renta_pj_seccion_17,,,,Sección LOGGRO de declaración renta PJ — alias al catch-all existente.,CORE ya Arriba/RENTA/LOGGRO/seccion-17-ganancia-ocasional.md,practica_erp
31,declaracion_renta,,a,declaracion_de_renta_personas_juridicas,renta_pj_seccion_18,,,,Sección LOGGRO de declaración renta PJ — alias al catch-all existente.,CORE ya Arriba/RENTA/LOGGRO/seccion-18-beneficio-de-auditoria.md,practica_erp
32,declaracion_renta,,a,declaracion_de_renta_personas_juridicas,renta_pj_seccion_24,,,,Sección LOGGRO de declaración renta PJ — alias al catch-all existente.,CORE ya Arriba/RENTA/LOGGRO/seccion-24-planeacion-tributaria-pymes-estrategias-legitimas.md,practica_erp
33,declaracion_renta,,a,declaracion_de_renta_personas_juridicas,renta_pj_seccion_26,,,,Sección LOGGRO de declaración renta PJ — alias al catch-all existente.,CORE ya Arriba/RENTA/LOGGRO/seccion-26-fiscalizacion-y-defensa-ante-la-dian.md,practica_erp
34,declaracion_renta,,a,declaracion_de_renta_personas_juridicas,renta_pj_seccion_27,,,,Sección LOGGRO de declaración renta PJ — alias al catch-all existente.,CORE ya Arriba/RENTA/LOGGRO/seccion-27-checklists-operativos-para-el-contador.md,practica_erp
35,declaracion_renta,,b,incentivos_regionales_zomac_zese,,declaracion_renta.incentivos_regionales_zomac_zese,,,ZOMAC/ZESE es un régimen de tarifa progresiva específico; merece subtopic dedicado.,CORE ya Arriba/ZOMAC_INCENTIVOS/EXPERTOS/E01-ZOMAC-incentivos-interpretaciones-expertos.md,interpretative_guidance
36,declaracion_renta,,b,incentivos_regionales_zomac_zese,,declaracion_renta.incentivos_regionales_zomac_zese,,,ZOMAC/ZESE es un régimen de tarifa progresiva específico; merece subtopic dedicado.,CORE ya Arriba/ZOMAC_INCENTIVOS/NORMATIVA/N01-ZOMAC-incentivos-regionales-marco-legal.md,normative_base
37,declaracion_renta,,d,,,,,"form_guides asset (.svg/.json) — binary artifact, no prose content",Estos son assets binarios de form_guides (PNG/SVG exportados + manifiestos JSON) — nunca deberían haber entrado al graph-parse gate.,form_guides/formulario_210/pn_residente/assets/page_02.svg,unknown
38,declaracion_renta,,d,,,,,"form_guides asset (.svg/.json) — binary artifact, no prose content",Estos son assets binarios de form_guides (PNG/SVG exportados + manifiestos JSON) — nunca deberían haber entrado al graph-parse gate.,form_guides/formulario_210/pn_residente/interactive_map.json,normative_base
39,declaracion_renta,,d,,,,,"form_guides asset (.svg/.json) — binary artifact, no prose content",Estos son assets binarios de form_guides (PNG/SVG exportados + manifiestos JSON) — nunca deberían haber entrado al graph-parse gate.,form_guides/formulario_210/pn_residente/structured_guide.json,normative_base
40,declaracion_renta,,d,,,,,"form_guides asset (.svg/.json) — binary artifact, no prose content",Estos son assets binarios de form_guides (PNG/SVG exportados + manifiestos JSON) — nunca deberían haber entrado al graph-parse gate.,form_guides/formulario_2516/pj_obligados_contabilidad/assets/page_02.svg,unknown
41,declaracion_renta,,d,,,,,"form_guides asset (.svg/.json) — binary artifact, no prose content",Estos son assets binarios de form_guides (PNG/SVG exportados + manifiestos JSON) — nunca deberían haber entrado al graph-parse gate.,form_guides/formulario_2516/pj_obligados_contabilidad/assets/page_06.svg,unknown
42,declaracion_renta,,d,,,,,"form_guides asset (.svg/.json) — binary artifact, no prose content",Estos son assets binarios de form_guides (PNG/SVG exportados + manifiestos JSON) — nunca deberían haber entrado al graph-parse gate.,form_guides/formulario_2516/pj_obligados_contabilidad/guide_manifest.json,normative_base
43,declaracion_renta,,d,,,,,"form_guides asset (.svg/.json) — binary artifact, no prose content",Estos son assets binarios de form_guides (PNG/SVG exportados + manifiestos JSON) — nunca deberían haber entrado al graph-parse gate.,form_guides/formulario_2517/pn_residente/interactive_map.json,unknown
44,declaracion_renta,,d,,,,,"form_guides asset (.svg/.json) — binary artifact, no prose content",Estos son assets binarios de form_guides (PNG/SVG exportados + manifiestos JSON) — nunca deberían haber entrado al graph-parse gate.,form_guides/formulario_2517/pn_residente/sources.json,normative_base
45,declaracion_renta,,a,beneficio_tributario_donaciones_becas_fuerzas_armadas,donaciones_descuento_tributario_pyme,,,,Guía práctica de donaciones PYME encaja en el subtopic existente de donaciones/descuentos.,to upload/AGGRANDIZEMENT-ABRIL-2026/DONACIONES_DESCUENTOS/LOGGRO/DON-L01-guia-practica-donaciones-PYME-descuento-tributario.md,practica_erp
46,emergencia_tributaria,,a,exenciones_tributarias_covid_19,emergencia_tributaria_decretos_1474_0240_2025_2026,,,,Decretos 1474/2025 y 0240/2026 (emergencia económica Catatumbo/La Guajira) — ampliar alias del catch-all existente hasta que se renombre el subtopic.,CORE ya Arriba/Documents to branch and improve/Emergencia_Tributaria_Decreto_0240/Interpretacion_Expertos/eme_expertos_decreto_0240.md,interpretative_guidance
47,emergencia_tributaria,,a,exenciones_tributarias_covid_19,emergencia_tributaria_decretos_1474_0240_2025_2026,,,,Decretos 1474/2025 y 0240/2026 (emergencia económica Catatumbo/La Guajira) — ampliar alias del catch-all existente hasta que se renombre el subtopic.,CORE ya Arriba/Documents to branch and improve/Emergencia_Tributaria_Decreto_0240/Normativa_Base/eme_normativa_decreto_0240.md,normative_base
48,emergencia_tributaria,,a,exenciones_tributarias_covid_19,emergencia_tributaria_decretos_1474_0240_2025_2026,,,,Decretos 1474/2025 y 0240/2026 (emergencia económica Catatumbo/La Guajira) — ampliar alias del catch-all existente hasta que se renombre el subtopic.,CORE ya Arriba/Documents to branch and improve/Emergencia_Tributaria_Decreto_0240/Practica_LOGGRO/eme_practica_decreto_0240.md,practica_erp
49,emergencia_tributaria,,a,exenciones_tributarias_covid_19,emergencia_tributaria_decretos_1474_0240_2025_2026,,,,Decretos 1474/2025 y 0240/2026 (emergencia económica Catatumbo/La Guajira) — ampliar alias del catch-all existente hasta que se renombre el subtopic.,CORE ya Arriba/EMERGENCIA_TRIBUTARIA_2026/NORMATIVA/EME-A01-addendum-estado-actual-decretos-1474-240-2026.md,normative_base
